School,Games,Points,Passing Completions,Passing Attempts,Passing Percentage,Passing Yards,Passing Touchdowns,Rushing Attempts,Rushing Yards,Rushing Average,Rushing Touchdowns,Total Offense Plays,Total Offense Yards,Total Offense Average,First Downs (Passing),First Downs (Rushing),First Downs (Penalties),First Downs (Total),Penalties (Number),Penalties (Yards),Turnovers (Fumbles),Turnovers (Interceptions),Turnovers (Total)
Purdue,12,25.1,24.2,42,57.5,237.3,1.5,34.8,131.3,3.8,1.8,76.8,368.6,4.8,10.6,7.1,2.1,19.8,5.4,53.9,0.8,1.3,2.2
Iowa State,12,25,19.8,34.3,57.7,226.3,1.5,41.5,182,4.4,1.5,75.8,408.3,5.4,9.8,10,1.6,21.4,4.9,40.8,1,1,2
South Alabama,12,25,15.3,29.3,52.3,199.5,1.3,40.1,160.8,4,1.5,69.4,360.3,5.2,8.1,8.4,1.6,18.1,6.8,57.8,0.8,1.3,2.1
Kentucky,12,24.7,18.2,33.1,54.9,209.3,0.8,34.9,162.7,4.7,1.8,68,372,5.5,8.6,8.3,1.6,18.5,5.8,56.3,0.5,1.3,1.8
Maryland,12,24.7,15.3,32.3,47.2,174.3,1.3,36.8,200.7,5.5,1.7,69.1,375,5.4,8,8.8,1.3,18.1,7,61.8,0.6,2.4,3
Colorado,13,24.6,21.9,35.8,61.3,239.3,1,41.8,157.5,3.8,1.8,77.5,396.8,5.1,11.1,9.7,1.6,22.4,6.2,55.7,0.7,0.9,1.6
Old Dominion,12,24.3,19.6,36.1,54.3,219.5,1.7,33.4,151.8,4.5,1.3,69.5,371.3,5.3,10.3,7.6,1.3,19.2,4.1,36.4,0.8,0.8,1.6
Akron,13,23.9,14.2,28.5,49.7,192.9,1.4,41.2,165.2,4,1.5,69.7,358.2,5.1,8.9,8.8,2,19.7,7.6,65.7,0.5,0.9,1.4
Florida,14,23.2,16.3,28.9,56.4,206.9,1.4,36.4,128,3.5,1.4,65.3,334.9,5.1,9.2,6.9,0.6,16.7,6.5,52.6,0.5,0.7,1.2
Penn State,13,23.2,16.5,31.1,53.2,214.5,1.5,32.6,133.9,4.1,1.2,63.7,348.4,5.5,8.1,6.4,2,16.5,5.2,41.6,0.9,0.5,1.4
Ball State,12,23.1,21.9,38.3,57.3,218.3,1.4,36.4,153.3,4.2,1.3,74.7,371.6,5,10.2,8.6,2,20.8,3.7,35.4,0.5,0.8,1.3
Illinois,12,22.7,23.8,43.3,54.9,243.4,1.3,32.3,129.3,4,1.1,75.6,372.7,4.9,11.8,6.9,1.8,20.4,5.5,49.1,0.8,0.7,1.4
Texas-San Antonio,12,22.6,17.5,29.9,58.5,194,1.4,42.6,168.1,3.9,1.3,72.5,362.1,5,9.5,9.3,1.6,20.3,7,66.1,1,0.9,1.9
